attempts,probability,status,block,decryption_level
316,0.73,intercepted,block,advanced
317,0.74,intercepted,block,advanced
318,0.65,intercepted,block,advanced
319,0.74,intercepted,block,advanced
320,0.71,intercepted,block,advanced
321,0.8,intercepted,block,advanced
322,0.68,intercepted,block,advanced
323,0.69,intercepted,block,advanced
324,0.68,intercepted,block,advanced
325,0.79,intercepted,block,advanced
326,0.62,susceptible,attempt,advanced
327,0.67,intercepted,block,advanced
328,0.64,susceptible,attempt,advanced
329,0.72,intercepted,block,advanced
330,0.82,intercepted,block,advanced
331,0.79,intercepted,block,advanced
332,0.73,intercepted,block,advanced
333,0.7,intercepted,block,advanced
334,0.72,intercepted,block,advanced
335,0.57,susceptible,attempt,advanced
336,0.79,intercepted,block,advanced
337,0.77,intercepted,block,advanced
338,0.8,intercepted,block,advanced
339,0.68,intercepted,block,advanced
340,0.64,susceptible,attempt,advanced
341,0.76,intercepted,block,advanced
342,0.76,intercepted,block,advanced
343,0.89,intercepted,block,advanced
344,0.75,intercepted,block,advanced
345,0.68,intercepted,block,advanced
346,0.79,intercepted,block,advanced
347,0.66,intercepted,block,advanced
348,0.79,intercepted,block,advanced
349,0.65,intercepted,block,advanced
350,0.63,susceptible,attempt,advanced
351,0.74,intercepted,block,advanced
352,0.69,intercepted,block,advanced
353,0.7,intercepted,block,advanced
354,0.7,intercepted,block,advanced
355,0.64,susceptible,attempt,advanced
356,0.71,intercepted,block,advanced
357,0.74,intercepted,block,advanced
358,0.63,susceptible,attempt,advanced
359,0.72,intercepted,block,advanced
360,0.83,intercepted,block,advanced
361,0.64,susceptible,attempt,advanced
362,0.6,susceptible,attempt,advanced
363,0.61,susceptible,attempt,advanced
364,0.64,susceptible,attempt,advanced
365,0.74,intercepted,block,advanced
366,0.76,intercepted,block,advanced
367,0.82,intercepted,block,advanced
368,0.65,intercepted,block,advanced
369,0.73,intercepted,block,advanced
370,0.7,intercepted,block,advanced
371,0.78,intercepted,block,advanced
372,0.85,intercepted,block,advanced
373,0.76,intercepted,block,advanced
374,0.76,intercepted,block,advanced
375,0.66,intercepted,block,advanced
376,0.78,intercepted,block,advanced
