,iteration,message_status,probability,strategy
434,43,unsuccessful,0.5,windtexter_baseline
435,43,successful,0.6,windtexter_full
436,43,unsuccessful,0.4,windtexter_full
437,43,unsuccessful,0.5,windtexter_full
438,43,unsuccessful,0.1,windtexter_full
439,43,unsuccessful,0.5,windtexter_full
440,44,successful,0.8,no_windtexter
441,44,unsuccessful,0.5,no_windtexter
442,44,unsuccessful,0.5,windtexter_baseline
443,44,unsuccessful,0.5,windtexter_baseline
444,44,successful,0.6,windtexter_baseline
445,44,unsuccessful,0.4,windtexter_full
446,44,unsuccessful,0.5,windtexter_full
447,44,unsuccessful,0.3,windtexter_full
448,44,unsuccessful,0.3,windtexter_full
449,44,successful,0.7,windtexter_full
450,45,successful,0.7,no_windtexter
451,45,successful,0.6,no_windtexter
452,45,unsuccessful,0.4,windtexter_baseline
453,45,successful,0.6,windtexter_baseline
454,45,unsuccessful,0.4,windtexter_baseline
455,45,unsuccessful,0.4,windtexter_full
456,45,successful,0.7,windtexter_full
457,45,successful,0.8,windtexter_full
458,45,successful,0.7,windtexter_full
459,45,unsuccessful,0.4,windtexter_full
460,46,unsuccessful,0.4,no_windtexter
461,46,successful,0.8,no_windtexter
462,46,unsuccessful,0.5,windtexter_baseline
463,46,successful,0.6,windtexter_baseline
464,46,unsuccessful,0.3,windtexter_baseline
465,46,successful,0.7,windtexter_full
466,46,unsuccessful,0.3,windtexter_full
467,46,successful,0.7,windtexter_full
468,46,successful,0.8,windtexter_full
469,46,successful,0.7,windtexter_full
470,47,successful,0.7,no_windtexter
471,47,successful,0.6,no_windtexter
472,47,unsuccessful,0.3,windtexter_baseline
473,47,successful,0.7,windtexter_baseline
474,47,unsuccessful,0.3,windtexter_baseline
475,47,unsuccessful,0.2,windtexter_full
476,47,unsuccessful,0.4,windtexter_full
477,47,unsuccessful,0.1,windtexter_full
478,47,unsuccessful,0.3,windtexter_full
479,47,unsuccessful,0.4,windtexter_full
480,48,successful,0.6,no_windtexter
481,48,unsuccessful,0.5,no_windtexter
482,48,unsuccessful,0.1,windtexter_baseline
483,48,unsuccessful,0.5,windtexter_baseline
484,48,unsuccessful,0.3,windtexter_baseline
485,48,unsuccessful,0.5,windtexter_full
486,48,successful,0.6,windtexter_full
487,48,unsuccessful,0.3,windtexter_full
488,48,unsuccessful,0.5,windtexter_full
489,48,unsuccessful,0.5,windtexter_full
490,49,unsuccessful,0.2,no_windtexter
491,49,successful,0.6,no_windtexter
492,49,successful,0.6,windtexter_baseline
493,49,unsuccessful,0.4,windtexter_baseline
494,49,unsuccessful,0.3,windtexter_baseline
495,49,successful,0.8,windtexter_full
496,49,successful,0.6,windtexter_full
497,49,unsuccessful,0.4,windtexter_full
498,49,unsuccessful,0.4,windtexter_full
499,49,unsuccessful,0.1,windtexter_full
500,50,unsuccessful,0.5,no_windtexter
501,50,unsuccessful,0.5,no_windtexter
502,50,unsuccessful,0.5,windtexter_baseline
503,50,unsuccessful,0.4,windtexter_baseline
504,50,successful,0.7,windtexter_baseline
505,50,unsuccessful,0.1,windtexter_full
506,50,unsuccessful,0.4,windtexter_full
507,50,successful,0.6,windtexter_full
508,50,unsuccessful,0.4,windtexter_full
509,50,successful,0.8,windtexter_full
510,51,unsuccessful,0.3,no_windtexter
511,51,successful,0.7,no_windtexter
512,51,successful,0.7,windtexter_baseline
513,51,successful,0.6,windtexter_baseline
514,51,unsuccessful,0.3,windtexter_baseline
515,51,successful,0.6,windtexter_full
516,51,successful,0.6,windtexter_full
517,51,unsuccessful,0.4,windtexter_full
518,51,successful,0.6,windtexter_full
519,51,unsuccessful,0.5,windtexter_full
520,52,successful,0.7,no_windtexter
521,52,unsuccessful,0.2,no_windtexter
522,52,unsuccessful,0.5,windtexter_baseline
523,52,unsuccessful,0.3,windtexter_baseline
524,52,successful,0.7,windtexter_baseline
525,52,successful,0.6,windtexter_full
526,52,unsuccessful,0.5,windtexter_full
527,52,successful,0.6,windtexter_full
