iteration,interception_probability,interception_cost,block_probability,message_status,message_block_cost,total_cost,windtexter
125,0.9,2000,0.7,sucessful,4000,6000.0,Partial
125,0.8,3000,0.8,sucessful,3000,3000.0,Full
126,0.6,5000,0.7,sucessful,4000,9000.0,Baseline
126,0.7,4000,0.7,sucessful,4000,8000.0,Partial
126,0.9,2000,0.9,sucessful,2000,2000.0,Full
127,0.7,4000,0.6,sucessful,5000,9000.0,Baseline
127,0.7,4000,0.9,sucessful,2000,6000.0,Partial
127,0.8,3000,0.9,sucessful,2000,2500.0,Full
128,0.3,8000,0.3,unsuccessful,8000,16000.0,Baseline
128,0.7,4000,0.7,sucessful,4000,8000.0,Partial
128,0.9,2000,0.8,sucessful,3000,2500.0,Full
129,0.8,3000,0.3,unsuccessful,8000,11000.0,Baseline
129,0.7,4000,0.4,unsuccessful,7000,11000.0,Partial
129,0.9,2000,0.9,sucessful,2000,2000.0,Full
130,0.2,9000,0.7,sucessful,4000,13000.0,Baseline
130,0.9,2000,0.5,unsuccessful,6000,8000.0,Partial
130,0.9,2000,0.8,sucessful,3000,2500.0,Full
131,0.8,3000,0.8,sucessful,3000,6000.0,Baseline
131,0.9,2000,0.5,unsuccessful,6000,8000.0,Partial
131,0.9,2000,0.8,sucessful,3000,2500.0,Full
132,0.2,9000,0.6,sucessful,5000,14000.0,Baseline
132,0.4,7000,0.8,sucessful,3000,10000.0,Partial
132,0.9,2000,0.9,sucessful,2000,2000.0,Full
133,0.5,6000,0.8,sucessful,3000,9000.0,Baseline
133,0.7,4000,0.8,sucessful,3000,7000.0,Partial
133,0.9,2000,0.8,sucessful,3000,2500.0,Full
134,0.8,3000,0.4,unsuccessful,7000,10000.0,Baseline
134,0.6,5000,0.7,sucessful,4000,9000.0,Partial
134,0.8,3000,0.8,sucessful,3000,3000.0,Full
135,0.5,6000,0.6,sucessful,5000,11000.0,Baseline
135,0.8,3000,0.9,sucessful,2000,5000.0,Partial
135,0.9,2000,0.9,sucessful,2000,2000.0,Full
136,0.8,3000,0.4,unsuccessful,7000,10000.0,Baseline
136,0.7,4000,0.5,unsuccessful,6000,10000.0,Partial
136,0.7,4000,0.7,sucessful,4000,4000.0,Full
137,0.5,6000,0.8,sucessful,3000,9000.0,Baseline
137,0.5,6000,0.7,sucessful,4000,10000.0,Partial
137,0.6,5000,0.9,sucessful,2000,3500.0,Full
138,0.9,2000,0.6,sucessful,5000,7000.0,Baseline
138,0.8,3000,0.4,unsuccessful,7000,10000.0,Partial
138,0.8,3000,0.8,sucessful,3000,3000.0,Full
139,0.6,5000,0.5,unsuccessful,6000,11000.0,Baseline
139,0.5,6000,0.8,sucessful,3000,9000.0,Partial
139,0.7,4000,0.7,sucessful,4000,4000.0,Full
140,0.6,5000,0.2,unsuccessful,9000,14000.0,Baseline
140,0.7,4000,0.7,sucessful,4000,8000.0,Partial
140,0.9,2000,0.9,sucessful,2000,2000.0,Full
141,0.8,3000,0.2,unsuccessful,9000,12000.0,Baseline
141,0.9,2000,0.8,sucessful,3000,5000.0,Partial
141,0.9,2000,0.8,sucessful,3000,2500.0,Full
142,0.6,5000,0.8,sucessful,3000,8000.0,Baseline
142,0.7,4000,0.8,sucessful,3000,7000.0,Partial
142,0.9,2000,0.9,sucessful,2000,2000.0,Full
143,0.4,7000,0.3,unsuccessful,8000,15000.0,Baseline
143,0.7,4000,0.5,unsuccessful,6000,10000.0,Partial
143,0.6,5000,0.8,sucessful,3000,4000.0,Full
144,0.5,6000,0.6,sucessful,5000,11000.0,Baseline
144,0.9,2000,0.7,sucessful,4000,6000.0,Partial
144,0.9,2000,0.8,sucessful,3000,2500.0,Full
145,0.6,5000,0.6,sucessful,5000,10000.0,Baseline
145,0.7,4000,0.7,sucessful,4000,8000.0,Partial
145,0.7,4000,0.9,sucessful,2000,3000.0,Full
146,0.4,7000,0.5,unsuccessful,6000,13000.0,Baseline
146,0.5,6000,0.7,sucessful,4000,10000.0,Partial
146,0.9,2000,0.9,sucessful,2000,2000.0,Full
147,0.5,6000,0.7,sucessful,4000,10000.0,Baseline
147,0.4,7000,0.8,sucessful,3000,10000.0,Partial
147,0.7,4000,0.8,sucessful,3000,3500.0,Full
148,0.5,6000,0.2,unsuccessful,9000,15000.0,Baseline
148,0.6,5000,0.9,sucessful,2000,7000.0,Partial
148,0.8,3000,0.9,sucessful,2000,2500.0,Full
149,0.7,4000,0.4,unsuccessful,7000,11000.0,Baseline
149,0.7,4000,0.8,sucessful,3000,7000.0,Partial
149,0.9,2000,0.9,sucessful,2000,2000.0,Full
150,0.5,6000,0.7,sucessful,4000,10000.0,Baseline
150,0.4,7000,0.8,sucessful,3000,10000.0,Partial
150,0.9,2000,0.9,sucessful,2000,2000.0,Full
